UDCLB 2008-0200,R0.4,2,0.56,0.76,16°,50,4,32.410,,,,,
UDCLB 2008-0300,R0.4,3,0.56,0.76,16°,50,4,32.410,,,,,
UDCLB 2008-0400,R0.4,4,0.56,0.76,16°,50,4,32.410,,,,,
UDCLB 2010-0200,R0.5,2,0.7,0.96,16°,50,4,32.410,,,,,
UDCLB 2010-0250,R0.5,2.5,0.7,0.96,16°,50,4,32.410,,,,,
UDCLB 2010-0300,R0.5,3,0.7,0.96,16°,50,4,32.410,,,,,
UDCLB 2010-0400,R0.5,4,0.7,0.96,16°,50,4,32.410,,,,,
UDCLB 2010-0500,R0.5,5,0.7,0.96,16°,50,4,32.410,,,,,
UDCLB 2020-0300,R1,3,1.4,1.9,16°,50,4,32.410,,,,,
UDCLB 2020-0400,R1,4,1.4,1.9,16°,50,4,32.410,,,,,
UDCLB 2020-0600,R1,6,1.4,1.9,16°,50,4,32.410,,,,,
UDCLB 2020-0800,R1,8,1.4,1.9,16°,50,4,32.410,,,,,
UDCLB 2020-1000,R1,10,1.4,1.9,16°,50,4,32.410,,,,,
UDCLB 2030-0600,R1.5,6,2.1,2.9,16°,60,6,35.580,,,,,
UDCLB 2030-0800,R1.5,8,2.1,2.9,16°,60,6,35.580,,,,,
UDCLB 2030-1000,R1.5,10,2.1,2.9,16°,60,6,35.580,,,,,
UDCLB 2030-1200,R1.5,12,2.1,2.9,16°,60,6,35.580,,,,,
UDCLB 2030-1400,R1.5,14,2.1,2.9,16°,60,6,35.580,,,,,
UDCLB 2040-0800,R2,8,2.8,3.9,16°,60,6,35.580,,,,,
UDCLB 2040-1000,R2,10,2.8,3.9,16°,60,6,35.580,,,,,
UDCLB 2040-1500,R2,15,2.8,3.9,16°,60,6,35.580,,,,,
UDCLB 2050-1000,R2.5,10,3.5,4.8,16°,60,6,35.580,,,,,
UDCLB 2050-1500,R2.5,15,3.5,4.8,16°,60,6,35.580,,,,,
UDCLB 2060-1000,R3,10,4.2,5.7,―,60,6,35.580,,,,,
UDCLB 2060-1500,R3,15,4.2,5.7,―,60,6,35.580,,,,,
UDCLBF 2002-0030,R0.1,0.3,0.14,0.18,16°,50,4,47.500,0.30,0.31,0.32,0.32,0.34
UDCLBF 2002-0050,R0.1,0.5,0.14,0.18,16°,50,4,47.500,0.51,0.52,0.54,0.55,0.59
UDCLBF 2002-0075,R0.1,0.75,0.14,0.18,16°,50,4,47.500,0.77,0.79,0.81,0.84,0.89
UDCLBF 2002-0100,R0.1,1,0.14,0.18,16°,50,4,47.500,1.02,1.05,1.09,1.12,1.20
UDCLBF 2003-0050,R0.15,0.5,0.21,0.28,16°,50,4,47.500,0.51,0.52,0.53,0.55,0.58
UDCLBF 2003-0075,R0.15,0.75,0.21,0.28,16°,50,4,47.500,0.76,0.78,0.81,0.83,0.88
UDCLBF 2003-0100,R0.15,1,0.21,0.28,16°,50,4,47.500,1.02,1.05,1.08,1.11,1.19
UDCLBF 2004-0050,R0.2,0.5,0.28,0.36,16°,50,4,43.300,0.54,0.55,0.56,0.58,0.61
UDCLBF 2004-0100,R0.2,1,0.28,0.36,16°,50,4,43.300,1.06,1.08,1.12,1.15,1.22
UDCLBF 2004-0150,R0.2,1.5,0.28,0.36,16°,50,4,43.300,1.57,1.62,1.67,1.72,1.83
UDCLBF 2004-0200,R0.2,2,0.28,0.36,16°,50,4,43.300,2.09,2.15,2.22,2.29,2.44
UDCLBF 2004-0250,R0.2,2.5,0.28,0.36,16°,50,4,43.300,2.60,2.68,2.77,2.86,3.06
UDCLBF 2006-0100,R0.3,1,0.42,0.56,16°,50,4,38.900,1.05,1.08,1.11,1.13,1.20
UDCLBF 2006-0150,R0.3,1.5,0.42,0.56,16°,50,4,38.900,1.57,1.61,1.66,1.70,1.81
UDCLBF 2006-0200,R0.3,2,0.42,0.56,16°,50,4,38.900,2.08,2.14,2.21,2.27,2.42
UDCLBF 2006-0300,R0.3,3,0.42,0.56,16°,50,4,38.900,3.12,3.21,3.31,3.41,3.65
UDCLBF 2006-0400,R0.3,4,0.42,0.56,16°,50,4,38.900,4.15,4.27,4.41,4.55,4.87
UDCLBF 2006-0500,R0.3,5,0.42,0.56,16°,50,4,38.900,5.18,5.34,5.51,5.69,6.09
UDCLBF 2006-0600,R0.3,6,0.42,0.56,16°,50,4,38.900,6.21,6.40,6.61,6.83,7.32
UDCLBF 2008-0200,R0.4,2,0.56,0.76,16°,50,4,38.900,2.08,2.14,2.20,2.26,2.40
UDCLBF 2008-0300,R0.4,3,0.56,0.76,16°,50,4,38.900,3.11,3.20,3.30,3.40,3.62
UDCLBF 2008-0400,R0.4,4,0.56,0.76,16°,50,4,38.900,4.14,4.27,4.40,4.54,4.85
UDCLBF 2008-0500,R0.4,5,0.56,0.76,16°,50,4,38.900,5.18,5.33,5.50,5.67,6.07
UDCLBF 2008-0600,R0.4,6,0.56,0.76,16°,50,4,38.900,6.21,6.40,6.60,6.81,7.29
UDCLBF 2008-0800,R0.4,8,0.56,0.76,16°,50,4,38.900,8.27,8.53,8.80,9.09,9.74
UDCLBF 2010-0150,R0.5,1.5,0.7,0.96,16°,50,4,38.900,1.56,1.60,1.64,1.68,1.77
UDCLBF 2010-0200,R0.5,2,0.7,0.96,16°,50,4,38.900,2.08,2.13,2.19,2.25,2.38
UDCLBF 2010-0250,R0.5,2.5,0.7,0.96,16°,50,4,38.900,2.59,2.66,2.74,2.81,2.99
UDCLBF 2010-0300,R0.5,3,0.7,0.96,16°,50,4,38.900,3.11,3.20,3.29,3.38,3.60
UDCLBF 2010-0400,R0.5,4,0.7,0.96,16°,50,4,38.900,4.14,4.26,4.39,4.52,4.83
UDCLBF 2010-0600,R0.5,6,0.7,0.96,16°,50,4,38.900,6.20,6.39,6.59,6.80,7.27
UDCLBF 2010-0800,R0.5,8,0.7,0.96,16°,50,4,38.900,8.27,8.52,8.79,9.08,9.72
UDCLBF 2010-1000,R0.5,10,0.7,0.96,16°,50,4,38.900,10.33,10.65,10.99,11.35,12.17
UDCLBF 2015-0200,R0.75,2,1.05,1.44,16°,50,4,38.900,2.11,2.15,2.20,2.25,2.37
UDCLBF 2015-0400,R0.75,4,1.05,1.44,16°,50,4,38.900,4.17,4.28,4.40,4.53,4.81
UDCLBF 2015-0600,R0.75,6,1.05,1.44,16°,50,4,38.900,6.23,6.41,6.60,6.81,7.26
UDCLBF 2015-0800,R0.75,8,1.05,1.44,16°,50,4,38.900,8.29,8.54,8.80,9.08,9.71
UDCLBF 2015-1000,R0.75,10,1.05,1.44,16°,50,4,38.900,10.36,10.67,11.00,11.36,12.16
UDCLBF 2015-1200,R0.75,12,1.05,1.44,16°,50,4,38.900,12.42,12.80,13.20,13.64,14.60
UDCLBF 2020-0300,R1,3,1.4,1.9,16°,50,4,38.900,3.20,3.27,3.35,3.43,3.62
UDCLBF 2020-0400,R1,4,1.4,1.9,16°,50,4,38.900,4.23,4.34,4.45,4.57,4.84
